"","donor 1_unstim","donor 1_LPS","donor 2_unstim","donor 2_LPS","donor 3_unstim","donor 3_LPS","donor 4_unstim","donor 4_LPS"
"ENSG00000283259",0,0,0,0,0,0,0,0
"ENSG00000233234",0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0
"ENSG00000284745",2,0,0,0,0,0,0,0
"ENSG00000169717",2,0,0,0,0,0,0,0
"ENSG00000177133",1,0,0,1,0,0,0,4
"ENSG00000142611",0,0,0,2,0,0,1,0
"ENSG00000283572",0,0,0,0,0,0,0,0
"ENSG00000226286",0,0,0,0,0,0,0,0
"ENSG00000279839",0,0,0,2,0,0,0,0
"ENSG00000272235",0,0,0,1,0,0,0,0
"ENSG00000130762",5,0,15,5,5,2,1,3
"ENSG00000272088",0,0,1,0,0,0,1,1
"ENSG00000162591",1389,327,818,380,1005,388,590.9999,312
"ENSG00000207776",0,0,0,0,0,0,0,0
"ENSG00000238260",3,1,1,0,3,2,0,1
"ENSG00000158109",1205,393,1071,414,1374,882,1265,939
"ENSG00000116213",348,397,281,301,270,265,291,291
"ENSG00000078900",18.2645,17.2993,21.6892,14,14,11,32,18.3777
"ENSG00000227589",3,0,0,0,0,0,0,0
"ENSG00000235131",0,0,0,0,0,0,0,0
"ENSG00000227372",545.7355,621.7007,532.3108,611.9999,669,777.0001,430,648.6223
"ENSG00000276189",0,0,0,0,0,0,0,0
"ENSG00000162592",0,0,0,3,0,1,0,0
"ENSG00000235169",4,5,4,10,7,10,4,14
"ENSG00000130764",1346.876,941,1209,767,1532.8563,912,1505.9531,1150.9999
"ENSG00000266075",2,2,2,4,6,1,0,2
"ENSG00000272153",23.1241,17,21,11,31.1437,21,9.0469,8
"ENSG00000116198",1130.8016,785,828.9999,648,1350,906.9999,1155,878.0001
"ENSG00000169598",203.2264,180,138,174,159,98,167,130
"ENSG00000198912",720.8739,431,446,368,487,226,554,290
"ENSG00000236423",90,79.1689,65,36,102,42,24,36
"ENSG00000233304",0,0,0,0,0,0,0,0
"ENSG00000226374",0,0,0,0,0,1,0,0
"ENSG00000284668",0,0,0,0,0,0,0,0
"ENSG00000284703",0,0,0,0,0,0,0,0
"ENSG00000229280",0,0,0,0,0,0,0,0
"ENSG00000235054",0,0,0,0,0,0,0,0
"ENSG00000284694",0,0,0,0,0,0,0,0
"ENSG00000227169",0,0,0,0,0,0,0,0
"ENSG00000232596",0,0,0,0,0,0,0,0
"ENSG00000196581",2,0,0,0,0,0,0,0
"ENSG00000284739",0,0,0,0,0,0,0,0
"ENSG00000284674",0,0,0,0,0,0,0,0
"ENSG00000231510",0,0,0,0,0,0,0,0
"ENSG00000284616",0,0,0,0,0,0,0,0
"ENSG00000284692",0,0,0,0,0,0,0,0
"ENSG00000284666",0,0,0,0,0,0,0,0
"ENSG00000260972",0,0,0,0,0,0,0,0
"ENSG00000283356",0,0,0,0,0,0,0,0
"ENSG00000236948",0,0,0,0,0,0,0,0
"ENSG00000264341",0,0,0,0,0,0,0,0
"ENSG00000264101",0,0,0,0,0,0,0,0
"ENSG00000131697",420.9999,201,370,200,415,447,293,275
"ENSG00000069424",26396.002,1530.0002,20498,1403.0001,22459.998,1579,21571,2553.0002
"ENSG00000116254",7,7,5,1,4,0,7,1
"ENSG00000285629",5.3819,1.3078,0,0,0,0,0,1.2333
"ENSG00000116251",3466.6182,927.6921,3270,1026,3409.3767,1505,3740,1741.7666
"ENSG00000226944",0,1,2,0,0,0,0,0
"ENSG00000158286",20.0017,89,27,92,17.6323,13,8,9
"ENSG00000116237",2271.9929,718,1908.9999,654,3057.4551,1203,2401,1270.9976
"ENSG00000225077",5.007,2,8,2,3,4,3,2.0024
"ENSG00000173673",0,0,0,0,0,0,0,0
"ENSG00000158292",399,123,209,86,368,256,224,466
"ENSG00000097021",1180.9666,276.9895,1127.985,358,1788.9683,426.987,1006.9926,295
"ENSG00000271746",0,0,0,0,0,9.4615e-07,0,0
"ENSG00000069812",89,9.7859,56,8,92,10,142.2645,21
"ENSG00000187017",2,0,5,1,10,1,5,1
"ENSG00000265392",0,0,0,0,0,0,0,0
"ENSG00000231868",0,0,0,0,0,0,0,0
"ENSG00000215788",8,5,12,14,4,14,7,18
"ENSG00000171680",0,0,3,0,1,0,0,0
"ENSG00000162408",1026.0499,484.9786,731,364.0204,1017.0001,444.9841,1044,518
"ENSG00000253022",0,0,0,0,0,0,0,0
"ENSG00000229519",3,3,0,1,1,0,0,0
"ENSG00000173662",1,2,2,0,0,0,1,0
"ENSG00000204859",900.0001,448,753,477,904,835,716,801.9999
"ENSG00000162413",1429,1898,1333,1956,1255,1056,1146,1833
"ENSG00000116273",756,442,548,469,752,921,643,998
"ENSG00000041988",252.6785,525.6649,130.3438,294.0755,195.2778,195.8225,210.3957,298.7776
"ENSG00000007923",2158.3215,1005.3351,1871.6561,914.9245,2658.7224,862.1775,2328.6045,903.2224
"ENSG00000228750",0,0,0,0,0,0,0,0
"ENSG00000284744",0,0,0,0,0,0,0,0
"ENSG00000237436",2,0,4,0,5,0,0,0
"ENSG00000171735",400,277,286,262,336,346,390,488
"ENSG00000227950",3,4,1,1,0,4,1,0
"ENSG00000237365",0,1,0,0,0,1,0,0
"ENSG00000207056",0,0,0,0,0,0,0,0
"ENSG00000237402",0,0,0,0,0,0,0,0
"ENSG00000237728",0,0,0,0,0,0,0,0
"ENSG00000225126",0,0,0,0,0,0,0,0
"ENSG00000270171",0,0,0,0,0,0,0,0
"ENSG00000270035",0,0,0,0,0,1,0,0
"ENSG00000269978",0,0,0,0,0,0,0,0
"ENSG00000049245",4629,1867,3334,1809,4457.9995,1968,4458,2848
"ENSG00000269925",12,21,14,6,14,7,10,3
"ENSG00000049246",1643.0566,231.1438,1234.5382,185.7312,1905.7412,128.6516,1880.1646,148
"ENSG00000236266",10.9434,5.8562,11.4619,2.2688,12.2588,2.3484,2.8356,0
"ENSG00000049247",1,0,1,0,12,1,11,4
"ENSG00000049249",68,1213,109,625,445,467,140,672.0076
"ENSG00000270330",0,2,0,0,0,1,0,1
"ENSG00000116288",3587,1811,3490,1745,5047.0005,3070,4752.0005,3435.9998
"ENSG00000200344",0,0,0,0,0,0,0,0
"ENSG00000284747",16,28,8,11,13,2,7,8
"ENSG00000284716",0,0,1,0,1,0,0,0
"ENSG00000116285",74,75,32,36,89,59,116,101
"ENSG00000238290",0,0,0,0,0,0,0,0
"ENSG00000232848",0,0,0,0,0,0,0,0
"ENSG00000229305",0,0,0,0,0,0,0,0
"ENSG00000227634",0,0,0,0,0,0,0,0
"ENSG00000200975",0,0,0,0,0,0,0,0
"ENSG00000233645",0,0,0,0,0,0,0,0
"ENSG00000251977",0,0,0,0,0,0,0,0
"ENSG00000162426",1,0,0,2,2,3,0,2
"ENSG00000252254",0,0,0,0,0,0,0,0
"ENSG00000142599",2939.9351,3498,2066.7813,3660.7998,2307,3115,2066,2577
"ENSG00000232912",1,7,1,7,0,1,0,0
"ENSG00000221083",0,0,0,0,0,0,0,0
"ENSG00000270282",2,1,1,4,0,2,1,0
"ENSG00000234619",8.9253,6.446,4,1,0,1,0,0
"ENSG00000224315",11.0747,8.554,3,5,5,2,5,0
"ENSG00000222511",0,0,0,0,0,0,0,0
"ENSG00000226545",1,0,1,0,0,0,0,0
"ENSG00000228423",4,1,4,1,0,0,1,0
"ENSG00000229716",0,0,0,0,0,0,0,0
"ENSG00000074800",47469.0039,37342.7773,37669.0039,21382.8965,45557,41892.9844,43605.9961,44576.9844
"ENSG00000274258",0,0,0,0,0,0,0,0
"ENSG00000230679",11,5.1272,4,4,1,6,4,3
"ENSG00000201725",0,0,0,0,0,0,0,0
"ENSG00000238249",0,0,0,0,0,0,0,0
"ENSG00000232208",0,0,0,0,0,0,0,0
"ENSG00000232663",0,0,0,0,0,0,0,0
"ENSG00000131686",0,0,0,0,0,0,0,0
"ENSG00000265141",0,0,0,0,0,0,0,0
"ENSG00000197241",0,0,0,0,0,0,0,0
"ENSG00000142583",169,149,296.5261,130,2091,1423,1239,1322
"ENSG00000252404",0,0,0,0,0,0,0,0
"ENSG00000180758",583.4123,3548,386.9346,1210,450.0259,1170.9843,476,1932
"ENSG00000228526",1571.8911,1869.8447,719.932,878.3056,874.917,1025.9407,596.4821,413.3527
"ENSG00000284357",0,0,0,0,0,0,0,0
"ENSG00000234546",29.5474,18.1553,7.068,24.6944,18.083,10.0593,8.5179,18.6473
"ENSG00000049239",8185.999,10113,5447,9202.9746,7595,18029,8108,15173
"ENSG00000171621",2019,1809,1330,1730.9999,3188,787,2367,1357
"ENSG00000284652",0,0,1,0,0,0,0,4
"ENSG00000284693",28.4704,4,11.0056,3,7,8,15,7
"ENSG00000252956",0,0,0,0,0,0,0,0
"ENSG00000235263",0,0,0,0,0,0,0,0
"ENSG00000171612",333.5525,115,252.2867,137,366,125,384,169
"ENSG00000231181",8,7,2,5,2,2,2,3
"ENSG00000188807",410,100,364,95,507,96,498,78
"ENSG00000171608",3768,1251,2730.0002,913,3993,2579,3031,2673
"ENSG00000179840",44,52,31,25,22,23,10,13
"ENSG00000233268",2,2,1,1,0,0,0,0
"ENSG00000231789",11,7,9,2,5,3,3,0
"ENSG00000171603",3873,3494.9998,3487,2601,6023,5934,3859,4498
"ENSG00000271264",0,0,0,0,0,0,0,0
"ENSG00000280113",0,0,0,0,0,0,0,0
"ENSG00000178585",702.0001,120,768,207,687,277,671,353
"ENSG00000223989",0,0,0,0,0,0,0,0
"ENSG00000285701",3,0,2,5,4,0,4,0
"ENSG00000162441",1126,338,825,344,1118,447,1136,508
"ENSG00000228150",2,2,0,1,0,3,1,0
"ENSG00000173614",454.3958,167.3094,378,215,556,314.8022,456,336
"ENSG00000202415",3,4,3,2,9,1,1,0
"ENSG00000283611",0,1,0,1,0,0,0,0
"ENSG00000265521",0,0,0,0,0,0,0,0
"ENSG00000241326",0,0,0,0,0,0,0,0
"ENSG00000162444",63,1,34,2,67,6,131,7
"ENSG00000130939",3347.9998,1014.0001,2283.0002,636,2940,1949,2985,1912.0001
"ENSG00000224340",2,1,0,0,0,0,0,0
"ENSG00000233623",4,4,3,0,3,0,0,2
"ENSG00000201746",0,0,0,0,0,0,0,0
"ENSG00000054523",6562,4949,5883,7081,6154.0005,6963.0005,5014.9995,7833
"ENSG00000264881",0,0,0,0,0,0,0,0
"ENSG00000199562",0,0,0,0,0,0,0,0
"ENSG00000264501",1.6323e-29,0,0,0,0,0,0,0
"ENSG00000284735",20,30,19,45,19,16,8,8
"ENSG00000284642",19,26,11,28,7,9,12,3
"ENSG00000142657",16642.002,13444.999,14150,18470.002,23563.998,38658.0039,18714,42144.0039
"ENSG00000271989",2,1.2825,0,0,1.017,3,0,1
"ENSG00000251503",0,2.5586,4.5345,0,15.2792,0.3635,10.3024,2.2441
"ENSG00000175279",77,49.6718,109.0952,52,112.7037,50.9693,81.6976,47.6177
"ENSG00000241563",1,1.4871,3.3703,3,0,1.6672,0,3.1382
"ENSG00000160049",1159.9636,480.7826,974.7797,472.7729,1274.0166,711.5859,1446.1235,802.7919
"ENSG00000203469",0,0,0,0,0,0,0,0
"ENSG00000142655",1347.6145,932.5189,796.4692,766.072,1208.9833,898.772,1448.8765,1237.208
"ENSG00000243267",3,6,3,5,2,0,1,0
"ENSG00000130940",206.604,618.2727,86.8936,505.0194,144.2025,296.619,140.0693,257.2412
"ENSG00000272078",19.396,47.7273,16.1065,47.9806,13.7975,11.381,16.9307,7.7588
"ENSG00000225158",0,0,0,0,0,0,0,0
"ENSG00000175262",90,3,86,11,104,5,78,5
"ENSG00000215785",0,0,0,0,0,0,0,0
"ENSG00000120948",3148.9807,1880,2508.999,1903.9969,3461.9993,2760.9995,3303.9998,2861.9978
"ENSG00000277726",0,0,0,0,0,0,0,0
"ENSG00000009724",45,29,30,13,10,13,6,0
"ENSG00000271895",44,14,14,8,29,17,14,8
"ENSG00000116649",1439.9999,284,1499,300,1580,238,2048,188
"ENSG00000171824",1601.7129,1308.9137,1207.7793,981.8398,1518.8918,878.0001,1329.4231,1076.1935
"ENSG00000226849",31.1925,37.0715,20.9608,51.1532,4.8185,21,4.577,6.7668
"ENSG00000230337",7.0947,2.0149,13.2602,1.0069,6.2896,3,6,1.0398
"ENSG00000198793",3804.9968,2189.9768,3074.0002,1771,4190.9907,2888.9998,3915.9966,3218
"ENSG00000225602",1.0034,2.0233,0,1,3.0092,0,1.0033,0
"ENSG00000253086",0,0,0,0,0,0,0,0
"ENSG00000171819",22,14,10,13,6,7,3,2
"ENSG00000207451",0,0,0,0,0,0,0,0
"ENSG00000238173",0,0,0,0,0,0,0,0
"ENSG00000120942",403.0438,274,344,228,489,187,464,355
"ENSG00000238199",0,0,0,0,0,0,0,0
"ENSG00000284646",0,0,0,0,0,0,0,0
"ENSG00000224338",0,0,0,0,0,0,0,0
"ENSG00000204624",1,0,0,0,0,0,1,2
"ENSG00000285833",0,1,0,0,0,0,0,0
"ENSG00000235643",0,1,0,0,0,0,0,0
"ENSG00000284708",0,0,0,0,0,0,0,0
"ENSG00000116661",2,5,2,0,0,7,0,4
"ENSG00000132879",237.37,227.1477,176.3232,213.3531,232,320.9572,223.3761,318.1961
"ENSG00000116663",316.8008,2185.5996,260.6768,2087.6284,336,721.5144,296.6239,1113.0122
"ENSG00000116670",501,395,355,319,490,668,381,975.0001
"ENSG00000162490",335.0564,22,109,21,395,22,47,8
"ENSG00000177674",1176,1741.9999,759,1450,1306,2454.9998,887.0001,2132
"ENSG00000215910",0,4.4154,0,1,0,0,3.3024,1.0811
"ENSG00000177553",0,0,0,0,0,0,0,0
"ENSG00000177000",4270.0239,1406.0339,2585.2222,1366.3997,4020.2502,2458.2429,2881.8459,2177.9189
"ENSG00000011021",1189.1176,759.7039,741.7782,666.6004,1128.7502,923.8095,841.8516,568
"ENSG00000276470",0,0,0,0,0,0,0,0
"ENSG00000278852",0,0,0,0,0,0.9477,0,0
"ENSG00000175206",12.858,14.8467,4,1,3,3,1,2
"ENSG00000275915",0,0,0,0,0,0,0,0
"ENSG00000120937",0,0,0,0,0,0,0,0
"ENSG00000224904",0,0,0,0,0,0,0,0
"ENSG00000285646",7.3483,3.6742,3.6742,0,4.8989,3,2.4494,1.2247
"ENSG00000199347",3.6517,4.3258,0.3258,0,0.1011,0,4.5506,1.7753
"ENSG00000201801",0,0,0,0,0,0,0,0
"ENSG00000116685",3214,2186,2752.0002,1926,3101,2861,3220,2925
"ENSG00000083444",5126.0005,2037,4917.9995,2372.9998,6381.9995,6632.9995,5826,5936
"ENSG00000116688",5830,2325,6193,2758,8319,3721,6379,3584
"ENSG00000270914",0,0,0,0,0,0,0,0
"ENSG00000116691",680,1027,797.0001,1070,903,786.9999,776,708
"ENSG00000202461",0,1,0,0,0,0,0,0
"ENSG00000276869",0,0,0,0,0,0,0,0
"ENSG00000243539",0,0,0,0,0,0,0,0
"ENSG00000120949",58,46,45,20,47,491,60,227
"ENSG00000201135",0,0,0,0,0,0,0,0
"ENSG00000227875",0,0,0,0,0,0,0,0
"ENSG00000285604",0,0,0,0,0,0,0,0
"ENSG00000283789",0,0,0,0,0,0,0,0
"ENSG00000028137",19528.8145,18148,14898,5961,18942.998,44177,17001,28302
"ENSG00000263676",0,0,0,0,0,0,0,0
"ENSG00000225196",0,0,0,0,0,0,0,0
"ENSG00000252969",0,0,0,0,0,0,0,0
"ENSG00000048707",6075.9995,2780.0002,4935.9995,2707.0002,5245.9995,4474,4452.0005,3710.9998
"ENSG00000239149",3.8388,0.7004,0.4463,3.2231,3.531,3.531,4.2541,1.0847
"ENSG00000229484",3,0,6,0,13,5,1,0
"ENSG00000162496",2907.0002,603,1592,461,3429,1210.0001,3510.0002,1801
"ENSG00000221340",0,0,0,0,0,0,0,0
"ENSG00000276830",0,0,0,0,0,0,0,0
"ENSG00000272482",41,6,9,9,21,11,25,29
"ENSG00000204518",0,0,0,0,0,0,0,0
"ENSG00000226166",0,0,0,0,0,0,0,0
"ENSG00000188984",0,0,0,0,0,0,0,1
"ENSG00000157330",0,0,0,0,0,1,0,0
"ENSG00000116726",0,0,0,0,0,0,0,0
"ENSG00000116721",0,0,0,0,0,0,0,0
